,title,content
0,눕씨둡씨,['노스페이스 눕시 700\n\n\n\n\n\n\n\n\n\n\n\n눕씨둡씨\n\n\n\n\n\n\n\n\n\n\n\n700 필ㄹ파워\n\n\n\n\n\n\n\n\n\n\n\n176/65/L사이즈\n\n\n\n\n\n\n\n작년 겨울부터 장만하고 싶었던 눕시번장에서 국내판 구형 구제로 우연한 기회에 장만하게 됐습니다.오래된 것 같긴한데 상태가 아주 좋네요...\u200b아래 바지는 이번에 구매한 블랭크룸 스웻팬츠 블랙 2사이즈 입니다']
1,90s 스투시 구매했습니다,['보자마자 반했습니다..🌝재난지원금 알차게 썼네요 굳굳굳 b']
2,오만원의 행복 ..,"['프로스케잇로우 일할때 신을려고 구매했구 리바이스는 신기해서 구매해봤어용..3.5 와 1.5 입니다! 접때는 리바이스 반바지 구제 만원에 득해서 재미들려서... 이번엔 긴바지로 1.5.. ㅎㅎ 둘다 너무 만족합니다!\n\n\n\n\n\n\n\n\n\n\n\n혹시 어떤 모델인지아시나요..? 득템맞나용?\n\n\n\n\n\n\n\n\n\n\n\n제 짝지 500 일이라.. 볼트 사주고싶었지만 없어서 애너하임 사줬습니다 너무 좋아하네욬ㅋㅋ 220-215라 귀여워용\n\n\n\n\n\n\n\n\n\n\n\n제이옥스 하이와 로우입니다 290/220..\n\n\n\n\n\n\n\n\n\n\n\n아웃백 쿠폰.. 5만깊티콘,케이티 20퍼, 생일쿠폰만원 = 공짜...\n\n\n\n\n\n\n\n\n\n\n\n이거 먹으러가죠..\n\n\n\n\n\n\n\n\n\n\n\n대하 이제 슬슬 실하니 철 ㄱ ㄱ 입니다\n\n\n\n\n\n\n\n\n\n\n\n말이필요없는 3계탕입니다 단일메뉴면 말다했죠..\n\n\n\n\n\n\n\n\n\n\n\n퓨전 한식요리주점인데 딴건별로고 이거 가지멘보샤는 맛있어용\n\n\n\n\n\n\n\n\n\n\n\n제가 좋아하는 아부라소바!\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n이거 사달라고 쫄아서 사준다했는데  좀더 고민을 .. ㅠㅋㅋ좋은 500 일이였습니다.. 점점 나이가들수록 시간이 빨리가네요..']"
3,Ymclky 개파카?,['모든 게시물은 사진 + 글 첨부 필수 & 질문글 삭제시 활동정지... 더보기\n\n\n\n\n\n\n\n\n● 모든 게시물은 사진 + 글 첨부 필수 & 질문 게시글 삭제시 활동정지\u200b동묘서 돌아다니다가 좋은컨디션의 ymclky개파카를 샀는데 이 브랜드도 가품이잇을까요?? 가격대가 원래 가품안나올것 같아서..']
4,심히 고민끜에…,['\u200b고민끝에 구매했네용 콜롬뱌 슈즈는 첨이네요 ㅋㅋ근데 귀엽네용.. 카와잉 ;; 카키바지나 반바지 데님등 어울릴거같아요 집앞 마실이나 놀러갈때 유용하게 이용하겠네요 ㅋㅋ아참 콜롬비아가ㅏ 하나 더있었네요!구제집에서 5천원에 겟한 수박 반바지입니다 ㅋㅋㅋ이거두개 매치는 오바인거 같구반바지는 그냥 편하게 흰티에 입어야죠ㅋㅋㅋ도합 3 만원이네용! ㅎㅎ! 콜롬비아.. 갠찬은 브랜드네오!']
5,오버한 폴로 옥스퍼드 셔츠는 무슨 핏으로 구매해야될까요?,['모든 게시물은 사진 + 글 첨부 필수 & 질문글 삭제시 활동정지... 더보기\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\u200b\u200b클래식핏인지.. 커스텀핏인지... 그리고 혹시 구매처도 알려주시면 감사~\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b● 모든 게시물은 사진 + 글 첨부 필수 & 질문 게시글 삭제시 활동정지']
6,오랜만입니다^^ 듣보잡 회원 잠시 인사드리고 갑니다~~,"['잘들 지내고 계시지요?간간이 왔었는데 잠깐씩 눈팅만 하고 통 글도 못남기고 활동을 못했네요. 마흔 넘도록 옷 이외엔 취미를 못 붙이다가 뒤늦게 러닝과 미니벨로에 빠져서;; 근 두달 동안 미벨 카페만 기웃 거리는 중이예요~ 근황 살포시 전하고 또 자전거 타러, 달리러 가보겠습니다~ \n\n\n\n \n\n\n\n\n\n\n\n상하의 : 자체제작 보세, 신발 : 호카오네오네, 아이웨어 : 파이살론\n\n\n\n\n\n\n\n지난 7월, 아이들 처가에 맡기고 잠시 하남에 있는 커피맛으로 나름 핫하다는 벙커컴퍼니에 다녀왔습니다. 사장님과 점원으로 보이는 분들이 엄청 멋쟁이더라고요! 오전 시간이라 매장에 저희밖에 없다보니 여유롭고 좋았습니다. \n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n커피 한잔 하고서 평소 궁금했던 비바무역에 들렀습니다.22년 전인 고3때 나름 빈티지 매니아였던 터라 고향에 들른것 같은 구제옷 약품 냄새가 향수를 자극했습니다. 나이가 들어서인지 눈에 들어오는 옷은 없어서 저는 빈손으로 나왔고 아내는 하와이에 사는 일수 아줌마로 보일만한 화려한 셔츠 몇장 샀습니다~ㅎ \n\n\n\n \n\n\n\n\n\n\n\n상의 : 나이키, 바지 : 장농에서 나온 운동복, 신발 : 나이키\n\n\n\n\n\n\n\n6월부터 러닝을 시작했습니다. 원래는 바지가 안맞기 시작해서 다이어트 목적으로 시작했는데 지금은 안뛰면 배에 기름 낀 것 같아서 습관처럼 뜁니다. 여러분도 시작해보세요! (저만 힘들수 없죠..)\n\n\n\n \n\n\n\n\n\n\n\n \n\n\n\n가끔 아들도 같이 뜁니다 ㅎ\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\nIU 야구선수 시절..이 짤은 언제나 웃음을 주네요오~~\n\n\n\n \n\n\n\n\n\n\n\n조끼 : 제로, 이너 : 포터리, 바지 : 슬릭앤이지, 신발 : 993\n\n\n\n\n\n\n\n아내와 신상 카페를 자주 가는 편입니다.춘천 조양동에 생긴 카페인데 고즈넉하니 분위기도 좋고특히 베이킹이 좋습니다 ❤️\n\n\n\n \n\n\n\n\n\n\n\n밖에서 보고 그냥 지나칠 뻔 했네요. \n\n\n\n\n\n\n\n\n\n\n\n선글라스: 이펙터, 조끼 : 예아, 이너 : 네이더스, 바지 : 슬릭앤이지, 가방 : 포터x캡틴선샤인\n\n\n\n\n\n\n\n속초 오징어난전 근처에 있는 포인탯이라는 신상 카페입니다. 쿠키가 맛있었고, 커피도 좋았습니다. \u200b이펙터 선글라스를 새로 샀는데 살 안뺐음 저팔계 될뻔 했습니다.. 한낮에도 밤 같아서 마음에 듭니다. \n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n아내도 열심히 함께 뛰고 있습니다~ 춘천의 아침은 정말 예술입니다.. \n\n\n\n \n\n\n\n\n\n\n\n카메라 : 아이폰12프로\n\n\n\n\n\n\n\n풍경 예술 맞죠? 뛰다가 눈 돌리면 저런 반영이 보이는 강이 펼쳐집니다.가끔 멍하게 옆 보고 뛰기도 합니다.. \n\n\n\n \n\n\n\n\n\n\n\n카메라 : 아이폰12프로\n\n\n\n\n\n\n\n음.. 힐링됩니다. 매일 아침 보는 풍경입니다\n\n\n\n \n\n\n\n\n\n\n\n사이판에서.. 가 아니고 집앞에서.. \n\n\n\n\n\n\n\n러닝 사진이 많네요 ㅎㅎ 마치 괌 사이판 하늘 같습니다; (저도 시커멓게 타서 사람도 괌 사이판..)\n\n\n\n \n\n\n\n\n\n\n\n아이웨어 : 타밧, 상의 : 셔터, 데님 : 올드조, 신발 : 파라부트, 시계 : 타이맥스x나이젤카본\n\n\n\n\n\n\n\n사춘기에 접어든 초6 딸래미랑 스벅에 갔습니다.축구하는 아들녀석 기다리면서 이런저런 얘기도 하고싶었지만 핸드폰만 보더군요!!그래도 보기엔 친해 보이죠? ㅎㅎ 언제 이렇게 큰건지 ㅠㅠ \n\n\n\n \n\n\n\n\n\n\n\n가방 : 스튜디오니콜슨\n\n\n\n\n\n\n\n아내랑도 찍어야 합니다..안찍으면 입장을 못하거든요.. \n\n\n\n \n\n\n\n\n\n\n\n모자 : 왕대두버킷, 잠바 : 언어펙티드, 이너 : 포터리, 바지 : 슬릭앤이지, 신발 : 호카오네오네\n\n\n\n\n\n\n\n축구 끝난 아들과 강대후문에서 떡볶이랑 돼지국밥 포장했습니다. 정겨운 부자의 모습입니다.. 광대가 크고 턱이 있는 편이라 왠만한 버킷은 어울리지 않습니다. 그나마 왕대두 얘가.. 쓸만했습니다. \n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n같은날 지인이 아기 옷가게를 오픈하여 잠시 들렀습니다.\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n또 뜁니다 ㅎㅎ 뛸때도 마스크 필착!! \n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n제법 가을 냄새가 나네요\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n계속 뛰는 사진만;; \n\n\n\n \n\n\n\n\n\n\n\n좌로부터 동팔이, 아내, 희은이입니다\n\n\n\n\n\n\n\n새로운 취미인 미벨로 아내와 라이딩도 하고요~ \n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n이번에 새로 들인 2010년생 희은이입니다. 미벨치곤 최고 시속 45키로까지 내주고 가볍게 잘 치고 나가네요~ \n\n\n\n \n\n\n\n\n\n\n\n상의 : 호텔990, 하의 : 장농에 있던 운동복, 신발 : 젤님버스, 선글라스 : 모스콧 램토쉬\n\n\n\n\n\n\n\n주말에 아들이 자전거 타고 싶다 하여 붙잡혀 나왔습니다.. 안전을 위해 마스크와 헬멧은 꼭 쓰고 있습니다. \n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n요즘 하늘이 좋습니다.모두 나가세요들!! \n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n오늘 보낸 왈라비 ㅜㅜ1년동안 5회 미만 착용했으면 보내는게 맞는것 같아요 ㅜㅜ 잘가…. 구매자분 잘 신으세요^^*\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n사랑하는 아내입니다. 나이를 함께 먹어가서 그런가 아직도 제 눈엔 귀엽고 아이같고 사랑스럽습니다. \u200b여담이지만 제가 엄청 따라다녀서 결혼에 성공했습죠.여자가 너무너무 사랑스럽고 내 곁에 두고 싶어 결혼 생각이 날때.. 바로 그때를 조심하셔야 합니다..\n\n\n\n \n\n\n\n\n\n\n\n선글라스 : 모스콧 램토쉬, 상의 : 스펙테이터, 하의 : 코워커스, 신발 : 왈라비\n\n\n\n\n\n\n\n춘천에 있는 데이글로우라는 카페인데 도넛맛이 일품이예요. 커피 양도 많고요\u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n이뻐보여서 케이스티파이x아더에러 케이스를 샀습니다. 전 공홈에서 구매 성공했네요. \u200b이만 근황을 남기고 또 유유히 사라지겠습니다.다음에 뵐때 자전거 쫄바지만 안입고 있으면 좋겠네요..ㅎㅎ\u200b멋쟁이 회원님들 환절기 감기 조심하시고, 코로나 조심하시어요!!또 뵙겠습니다']"
7,유니클로 efc셔츠 4xl로 입어보신분 계신가요?,['모든 게시물은 사진 + 글 첨부 필수 & 질문글 삭제시 활동정지... 더보기\n\n\n\n\n\n\n\n\n● 모든 게시물은 사진 + 글 첨부 필수 & 질문 게시글 삭제시 활동정지\u200b유니클로 셔츠를 좋아해서 시티보이느낌으로 입어보려는데 혹시 4xl입어보신분 계신가요?\u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\u200b']
8,구제매장에서 이걸 2.6만원에 파네요ㅋㅋ,"['모든 게시물은 사진 + 글 첨부 필수 & 질문글 삭제시 활동정지... 더보기\n\n\n\n\n\n\n\n\n● 모든 게시물은 사진 + 글 첨부 필수 & 질문 게시글 삭제시 활동정\u200b구제매장에 나이키 리유저블 쇼핑백 걸려있길래 가격물어보니 중간 사이즈 2.6만원, 큰 사이즈 2.8만원이라고 하시더라고요.처음에는 사람들 들고다니는것만 봤지 뭔지 몰라서 그 정도 하는구나 싶었는데ㅋㅋㅋㅋㅋ찾아보고 나이키매장가서 사니까 사이즈별 1,2,3천원..도합 6천원이네요..아무리 지방 구제매장이라지만..좀 너무하다 싶네요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이천원짜리 쇼핑백을 2만6천원에 절레절레..']"
9,형님들 이런 느낌에 치노 팬츠 추천 부탁드립니다..,['모든 게시물은 사진 + 글 첨부 필수 & 질문글 삭제시 활동정지... 더보기\n\n\n\n\n\n\n\n\n키카 168 인데 ...흠 ....\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\u200b이런 느낌으로 낙낙하개 롤업해서 입고 싶은데...\u200b색감이나 원단이나 ... 저는 잘 못 찾겠는데 \u200b고아캐 형님들의 추천이 필요할 때입니다 ..\u200b부탁드림니다 ...\u200b● 모든 게시물은 사진 + 글 첨부 필수 & 질문 게시글 삭제시 활동정지']
