,title,content
0,여름과 가을 사이,"['\u200b🔈해당게시판은 생방송 컨텐츠에 사용 될 수 있습니다. 데일리룩 관련 공지 ->https://cafe.naver.com/zzang9daddy/719128\u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\u200b가을이 올 듯 아직 여름인 느낌!낮에 셔츠는 살짝 덥지만 그래도 시원해보이는 색으로 입어봤습니다ㅎㅎ\u200b\u200b<기본양식> 아우터 -  상의 -  구제 폴로, 자바나스하의 -  오리지날 가먼츠신발 -  뉴발 992기타 악세 -  칼하트 백팩키,몸무게(선택) - 168/62']"
1,푸마 유아인 자켓 🐆,"['\u200b🔈해당게시판은 생방송 컨텐츠에 사용 될 수 있습니다. 데일리룩 관련 공지 ->https://cafe.naver.com/zzang9daddy/719128\u200b<기본양식> 아우터 -  푸마상의 -  예스아이씨하의 -  피스워커신발 -  야세기타 악세 -  키,몸무게(선택) - 182/62\u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\u200b요런 자켓 구제에서 많이 보이는거 같은데 확실히 ㅂㄴ티지한 느낌은 좋네요 👍🏻']"
2,요즘 날씨에 딱,"['\u200b🔈해당게시판은 생방송 컨텐츠에 사용 될 수 있습니다. 데일리룩 관련 공지 ->https://cafe.naver.com/zzang9daddy/719128\u200b\u200b\u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n \n\n\n\n\u200b체험단 후기용으로 사진 찍었던 데일리룩입니다 ㅎㅎ딱 요즘 날씨랑 잘맞는 코디예요\u200b<기본양식> 아우터 -  상의 -  폴로 구제, 자바나스하의 -  무탠다드신발 -  클락스 데저트 트랙 (체험단)기타 악세 -  드로우핏키,몸무게(선택) - 168/62']"
3,[클락스] 클락스 데저트 트랙 체험단 후기,"[""▷ 짱구대디랑 카페 체험단은 브랜드로부터 진행 비용 및 제품을 제공 받아 진행하는 이벤트입니다.... 더보기\n\n\n\n\n\n\n\n\n\u200b🚩제품명&링크- 클락스 데저트 트랙 https://folderstyle.com/event/eventDetail/388\n\n\n\n \n\n\n\n\n\n\n\n\n클락스, 가을 단풍을 닮은 헤리티지 브랜드 특별할인\n폴더 공식 온라인스토어\nfolderstyle.com\n\n\n\n\n\n\n \n\n\n\n\u200b\u200b안녕하세요 구승입니다!이번에 체험단 신청단 넣었는데 드로우핏 데님자켓에 이어 클락스 체험단 당첨이 되어서 이렇게 체험단 후기를 작성하게 되었습니다.제가 받은 클락스의 제품은 '데저트 트랙' 입니다.\u200b현재 클락스 제품은 폴더에서 최대 33%까지 할인 중이고제가 받은 데저트 트랙 제품은 최대 할인가 15만원에 구매 가능하다고 합니다!\u200b\u200b🚩디테일컷&착샷-\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\u200b클락스 제품의 박스는 블랙색상에 브랜드 네임이 심플하게 들어가있습니다.\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n이렇게 포장된 상태로 잘 받았습니다.\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n끈에는 FSC택과 하얀 여분끈이 달려있었습니다!나중에 하얀 끈으로 교체해서도 신어보려구요 ㅎㅎ\u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n뒷축에는 제품의 이름인 데저트 트랙답게사막에서 트랙킹하는 사람같은 그림이 들어가있습니다 .\u200b(이 사진은 제가 코디 사진 찍으려고 몇 번 신었다 벗었다 했더니 조금 가죽이 구겨졌네요.,.ㅜ) \n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\u200b클락스 제품의 특징중 하나인 밑창!! 처음 받아봤을 때 조금 당황하긴 했지만 제품의 무드와 잘 맞는 디자인 같아요!오염도 잘되고 마모도 심하다고 하지만 저는 보강없이 신으려고 합니다.\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n착용 실루엣입니다.사실 저는 왈라비 제품을 1지망으로 했어서 데저트 트랙을 받고선 살짝 당황했지만이 신발도 둥그런게 다른 귀여운 매력이 있더라고요!!코디에 포인트 주면서 잘 신을 것 같습니다.\u200b사이즈 감을 말씀드리자면저는 정사이즈 260사이즈에 뉴발신발들은 꽉끈으로 270까지도 신는데데저트 트랙제품은 반다운정도 하는게 좋다고 하더라구요.\u200b하지만 체험단 제품에 255사이즈는 없어서 저는 정사이즈로 갔습니다.확실히 크게 나온 신발답게 안에서 발이 조금 노는 느낌이 있긴 하지만끈을 최대한 조여서 신으면 못신을 것 같진 않습니다. 막 엄청 불편하진 않았어요 ㅎㅎ발볼이 넓지 않으신분들은 사이즈 반다운 추천드립니다!\u200b\u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\u200b상의: 미니멀 프로젝트, 자바나스하의: 제로신발: 클락스 데저트 트랙키, 몸무게: 168/62\u200b첫번째로 좀 후리하게 후드집업과 스웻팬츠를 셋업으로 입어서 코디해봤습니다.그냥 포멀한 느낌의 신발이 아니고 둥글둥글한 디자인이라이런 캐주얼한 느낌에 잘 어울리는 것 같아요.신었을 때 신발 클로즈업샷도 같이 담아봤습니다.\u200b\u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n상의: 구제 폴로, 자바나스하의: 무탠다드신발: 클락스 데저트 트랙가방: 드로우핏키, 몸무게: 168/62\u200b두번째 코디는 캐주얼하면서도 단정한 느낌을 줄 수있는 코디로 해봤습니다!생각보다 더스티 베이지 슬랙스와 톤이 달라서 조금은 아쉽지만그래도 코디 무드와는 잘 어울리는 것 같습니다!\u200b생각난 김에 색상에 대해 말씀 드리자면 더스티 베이지 슬랙스는 좀 더 붉은끼있는 브라운에서 물빠진 느낌인데데저트 트랙의 색상은 좀더 탁하지만 노란 느낌이 강한 것 같습니다.\u200b\u200b\u200b아쉬운 점- 신발에 대한 아쉬운 점은 딱히 없지만 꼽자면평소 스니커즈 대비 정사이즈임에도 커서 살짝 헐렁한 느낌이 있는게 아쉬웠습니다.슈레이스가 토박스 부분까지 있는게 아니라 꽉끈도 한계가있네요 ㅠ 그리고 밑창이 확실히 잘 닳을것 같아요ㅎㅎ 코디 찍으러 몇번 왔다갔다한거로 벌써 까매지기 시작했네요..클락스 브랜드의 특징이겠지만 좀 더 견고한 느낌의 밑창이었음 어땠을까 싶은 마음도 있어요!\u200b좋은 점- 처음에 데저트 트랙을 보고 이걸 어떻게 코디해야 좋을까 생각했는데생각보다 캐주얼한 무드에 잘 묻어나는 신발이라 좋았던 것 같아요!아직 더 생각은 해봐야겠지만 이곳 저곳 잘 매치하면 이쁘게 잘 신을 수 있을 것 같습니다.\u200b\u200b총평- 기존 가지고 있던 신발들과 아주 다른 무드의 신발이 생겨서 너무 좋네요ㅎㅎ클락스만의 감성을 가지고 싶다면 지금 할인할 때 폴더에서 사는 것이 좋을지도..?\u200b글 봐주셔서 감사합니다!""]"
4,[9월] 와르 21FW 데님 컬렉션 체험단 모집!,"['▷ 짱구대디랑 카페 체험단은 브랜드로부터 진행 비용 및 제품을 제공 받아 진행하는 이벤트입니다.... 더보기\n\n\n\n\n\n\n\n\n\ufeff <체험단 공지🔈> \u200b🔷 총 40명 선발예정입니다! - 20명(카페 활동 왕성한 사람 브랜드에서 선발) - 20명(랜덤 프로그램 무작위 선발) \u200b🔷 체험단 2회 연속 당첨된 회원은 자동 당첨 취소 됩니다. \u200b🔷 댓글을 통해 제품에 대한 기대평과 체험하고 싶은 이유, 받고싶은 제품명을 남겨주세요 \u200b🔷 체험단이 되면 1주일 이내에 자유롭게 장점&단점 여러분이 느끼는 사실 그대로 착샷이 포함된 리뷰글을 1개 이상 작성해주시면됩니다!(수령하신 제품은 리뷰 후 소장하시면 됩니다) 단, 체험단 당첨 이후 후기 미작성자는 미사용제품 반납 혹은 제품가액 청구될 예정입니다. \u200b🔷 체험단 후기는 각 진행 월에 맞는 게시판에 작성해주세요!(진행 월은 모집,발표글 앞에 표시) \u200b📌 체험단 후기는 게시 후 6개월간 유지 \u200b\u200b\u200b◈ \' 와르 21FW 데님 컬렉션  \' 짱구대디랑 카페 체험단 모집 ◈ \u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n \n\n\n\n와르(WAAR)는 ""WE ARE ALWAYS RIGHT의 약자로우리는 항상 옳다, 우리는 언제나 옳다는 의미를 모토로 가지고 있으며,감각적이고 세련된 감성으로 누구나 좋아하고 입고싶은 옷을 선보이는 브랜드입니다.국내 자체 제작으로 유통과정의 마진을 축소하고 더 나은 퀄리티를 선보이는 트렌디한 디자인으로 편하게 입기 좋은 프리미엄 데님 브랜드입니다.\u200b\u200b\u200b\u200b○ 체험단 제품 소개○  (리뷰 원하시는 제품을 받고싶은 이유와 함께 적어주세요) \u200b\u200b1. M146 와이드 데님 팬츠_라이트블루 - 8명https://bit.ly/3gPQQo6\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nSIZE-S,M,L DETAIL-Cotton 100%, 12oz-YKK지퍼, 코아사실, 체인스티치, 로고각인 리벳 DESIGN-발등까지 떨어지는 여유있는 기장감-흔하지 않은 그레이시한 청컬러의 데님 FIT-와이드\u200b\u200b2. M149 세미 부츠컷 데님 팬츠_진청 - 8명https://bit.ly/3mK8X2y\u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nSIZE-S,M,L DETAIL-Cotton 100%, 12oz-YKK지퍼, 코아사실, 체인스티치, 로고각인 리벳 DESIGN-진한 이디고 컬러의 캣브러쉬 워싱 기법의 데님 FIT-세미 부츠컷\u200b\u200b\u200b3. M150 슬림 스트레이트 데님 팬츠_흑청 - 8명https://bit.ly/2V1kRJO\u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nSIZE-S,M,L,XL DETAIL-Cotton 100%, 12oz-YKK지퍼, 코아사실, 체인스티치, 로고각인 리벳 DESIGN-여유있는 핏으로 떨어지는 스트레이트핏-캣브러쉬 워싱을 은은하게 넣어 블랙의 컬러를 완성시킨 데님 FIT-슬림 스트레이트\u200b\u200b4. M151 와이드 콘 데님 팬츠_중청 – 8명https://bit.ly/3DxJ3Vz\u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nSIZE-S,M,L DETAIL-Cotton 100%, 14oz-YKK지퍼, 코아사실, 체인스티치, 로고각인 리벳 DESIGN-올밀크 워싱을 사용하여 워싱의 깊이감을 높인 데님-콘데님 원단으로 16~24회 염료 담금질을 통하여 데님의 깊은 컬러감이 우수하며, 중량감이 높지만 링사의 원사로 재직하여 터치감이 거칠지 않은 데님 FIT-와이드핏\u200b\u200b\u200b\u200b5. M152 구제 슬림 스트레이트 데님 팬츠_중청 – 8명https://bit.ly/38udVIm\u200b\u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nSIZE-S,M,L,XL DETAIL-Cotton 98%, POLY 2% , 12oz-YKK지퍼, 코아사실, 체인스티치, 로고각인 리벳 DESIGN-스판이 들어가 착용감이 우수하며 발등위로 떨어지는 기장감-틴 염료를 더해줌으로써 차가워 보이지 않는 중청 데님 FIT-슬림 스트레이트\u200b\u200b\u200b참여방법 :\u200b회원님이 평소 착용하시는 무드의 사진, 원하시는 제품명 / 컬러 / 사이즈를 댓글로 작성해주세요.(Ex.. M146 와이드 데님 팬츠_라이트블루 / S)*작성된 후기는 마케팅 콘텐츠로 2차 활용될 수 있습니다. (Ex. 무신사 스냅, 제품 상세페이지 등)\u200b\u200b\u200b<체험단 발표🔈> \u200b▷ 진행 일정 \u200b 1) 모집기간 :  9/6(월) ~ 9/12(일)\u200b 2) 발표 :  9/13(월) \u200b 3) 배송 : 9/15 ~   (*추가 당첨자는 배송이 늦어질 수 있습니다.) \u200b▷ 당첨자 발표 & 개별 이메일 연락 ▷ 업체에서 뽑은 당첨자는 작성하신 댓글에 맞춰 발송되고 랜덤으로 뽑은 당첨자는 업체에서 임의로 물품 발송예정입니다. \u200b※ 9월 진행 체험단의 후기는 \'9월 진행 체험단 후기\' 게시판에 작성해주세요. ※ 작성하신 후기는 브랜드 측으로부터 2차 활용(브랜드 SNS에 노출)될 수 있습니다. ✔ 체험단 당첨자 관련 문의는 : zzang9cafe@gmail.com 으로 문의주세요 ✔\u200b 체험단 진행 및 배너 광고 문의 : contact_zzang9@naver.com']"
5,보세 데님 다들 어디서 사시나요,"['🔈패션질문 게시판 이용시, 관련사진 첨부 의무 ---------------------------------------------  \u200b관련 사진 ▷ \n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\u200b\u200b관련 링크(없으면 미첨부) ▷사람들 보면 보세에서 예쁜 데님 많이 사더라구요 어디 오프라인 매장이 많이 보이는 지역이 있는건가요 ??? 실제로 보세 데님을 사러 다녀본적이 없어요 팁 부탁드려요 ! 실제로 많은 핏들 입어보면서 원하는 바지 살 수 있다고 생각하니 또 재밌을거같네요']"
6,빨간 소파가 매력적인 가죽자켓,"['\u200b🔈해당게시판은 생방송 컨텐츠에 사용 될 수 있습니다. 데일리룩 관련 공지 ->https://cafe.naver.com/zzang9daddy/719128\u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n<기본양식> 아우터 -  구제상의 -  하의 -  신발 -  덩크기타 악세 -  키,몸무게(선택) - 165 - 60\u200bhttps://www.instagram.com/jj_erry_/\n\n\n\n \n\n\n\n\n\n\n\n\n제리(@jj_erry_) • Instagram 사진 및 동영상\n팔로워 39명, 팔로잉 23명, 게시물 2개 - 제리(@jj_erry_)님의 Instagram 사진 및 동영상 보기\nwww.instagram.com\n\n\n\n\n\n\n \n\n\n\n\u200b']"
7,쿠어 울 블루종 왔네용!,"['*쇼핑후기 게시판은 제품 실사 혹은 실사용 후기가 필수입니다. 누락 될 경우 삭제 될 수 있으니 참고해주세요. \u200b\u200b📌기본양식 \u200b브랜드,품명 - 쿠어 울 블루종 모카그레이  \u200b제품 사진(실사) - \u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n매번 블루종은 구제 아이템들만 입다가 이번에 돈좀써서 쿠어 블루종 질러봤는데 감성은 역시 확실하네요! 근데 제 키가 168이라 s사이즈로 갔는데 소매도 조금 길고 기장도 그리 크롭하진 않네용..ㅠㅠ여러분들이 보셨을때 그냥 입어도 괜찮을 것 같으신가요?!']"
8,주말에 홍대 구제샵 쇼핑,"['*쇼핑후기 게시판은 제품 실사 혹은 실사용 후기가 필수입니다. 누락 될 경우 삭제 될 수 있으니 참고해주세요. \u200b\u200b📌기본양식 \u200b브랜드,품명 -  구제\u200b제품 사진(실사) - \u200b\u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\u200b\u200b네이비 폴로 니트 베스트\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n그레이 스트라이프 블루종\u200b이번 주말에 홍대 구제 빈티지샵들 돌아다니다가 가을에 입을 옷 쇼핑했습니당평소 구제 블루종들을 좋아하는데 뭔가 이번에도 패턴이 맘에들어서 사버렸어요 ㅋㅋㅋ둘 다 그레이나 베이지 와이드 슬랙스에 입으면 괜찮을 것 같아요!']"
9,구제시장에서 버버리 정품 코트 45만원 버버리 정품 셔츠 7만원 가격 호갱인가요?,"['🔈패션질문 게시판 이용시, 관련사진 첨부 의무 ---------------------------------------------  \u200b우선 말씀드리자면 저는 구제시장을 태어나서 한번도 가본적 없는 사람입니다 \u200b근데 기회가 생겨서 가봤는데\u200b버버리가 정말 굉장히 많더군요\u200b다른명품 브랜드들에 비해 버버리가 압도적으로 많더라구요\u200b근데 제가 버버리를 좋아하기도 해서 한번 득템 한번 해보자하고 발품 팔아봤는데\u200b제가 밑에 올린 사진 두개가 딱 제 마음에 들어서 구입하려했는데\u200b코트가 45만원셔츠가 7만원이라 하더라구요\u200b제가 구제시장이 처음이긴 해도 그래도 옷을 좋아하는 사람으로써 구제시장 평균가격을 아는데셔츠 7만원은 그렇다처도 코트 45만원 좀 호구취급 당하는거 같아서 일단 둘 다 안샀는데\u200b구제시장에서 코트가 45만원이 할수가 있나요?\u200b관련 사진 ▷ \n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n이게 45만원짜리 버버리 트렌치 코트이고\u200b\u200b\u200b\u200b\u200b\u200b------------‐----------------------------------\u200b\u200b\u200b\n\n\n\n \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n이게 버버리 셔츠 7만원\u200b\u200b관련 링크(없으면 미첨부) ▷']"
